-73.8233985,40.8439654,3135 SPENCER DR,10465,New York
-73.9793266,40.6726795,399 1 ST,11215,New York
-74.1510999,40.6120884,533-2 WILLOW RD  E,10314,New York
-73.9276356,40.6901342,62 PATCHEN AVE,11221,New York
-74.1318136,40.5587175,112 BUFFALO ST,10306,New York
-73.902456,40.7550545,32-30 60 ST,11377,New York
-73.8459656,40.7835427,15-24 COLLEGE POINT BLVD,11356,New York
-73.7907422,40.7341231,67-44 181 ST,11365,New York
-73.8392798,40.6496618,164-31 91 ST,11414,New York
-73.9488861,40.7452988,11-48 46 RD,11101,New York
-73.9813557,40.7741984,158 COLUMBUS AVE,10023,New York
-73.9008959,40.775069,20-20 42 ST,11105,New York
-73.8657642,40.7566464,33-32 103 ST,11368,New York
-73.9657912,40.6372923,490 ARGYLE RD,11218,New York
-73.9983649,40.7381736,135 W  14 ST,10011,New York
-73.9723122,40.6845931,368 CUMBERLAND ST,11217,New York
-73.8956644,40.7540215,33-12 71 ST,11372,New York
-74.1598165,40.5505642,89 ESCANABA AVE,10308,New York
-73.8594732,40.8859239,749 E  223 ST,10466,New York
-73.9479247,40.7096984,62 TEN EYCK ST,11206,New York
-73.9745592,40.615965,1530 MC DONALD AVE,11230,New York
-73.7635374,40.674435,136-15 FARMERS BLVD,11413,New York
-73.9461586,40.7077094,94 MESEROLE ST,11206,New York
-73.8897471,40.6674205,543 MILLER AVE,11207,New York
-73.9101302,40.7534989,50-41 NEWTOWN RD,11377,New York
-73.8743103,40.72482,83-03 62 AVE,11379,New York
-73.782456,40.7726607,208-03 30 AVE,11360,New York
-74.1249601,40.5597169,145 MALONE AVE,10306,New York
-74.1530297,40.5511835,72 BALTIMORE ST,10308,New York
-73.8654799,40.6802771,437 ELDERT LN,11208,New York
-73.846346,40.8245171,831 HAVEMEYER AVE,10473,New York
-73.9547435,40.6916573,226 SPENCER ST,11205,New York
-73.8016325,40.7909604,12-03 160 ST,11357,New York
-73.8809478,40.6609586,765 STANLEY AVE,11207,New York
-73.9989223,40.6575088,201 29 ST,11232,New York
-73.7470121,40.7182407,93-22 212 PL,11428,New York
-74.1018422,40.6316748,78 GREGG PL,10301,New York
-73.9268551,40.6945664,837 BUSHWICK AVE,11221,New York
-73.855214,40.669349,137-36 80 ST,11414,New York
-73.7894598,40.7562013,44-10 192 ST,11358,New York
-73.9278968,40.6391215,897 E  51 ST,11203,New York
-74.0909063,40.6345161,280 GLEN AVE,10301,New York
-73.7726653,40.7070955,102-12 185 ST,11423,New York
-73.9456168,40.6428903,1229 NEW YORK AVE,11203,New York
-73.903555,40.666826,423 BLAKE AVE,11212,New York
-73.7680249,40.7570233,46-44 BELL BLVD,11361,New York
-73.7220086,40.7443115,76-08 249 ST,11426,New York
-73.8037252,40.6706603,129-58 135 ST,11420,New York
-73.947926,40.6179206,1357 E  27 ST,11210,New York
-74.1450804,40.5582953,49 DUNBAR ST,10308,New York
-74.1221811,40.5564704,144 BROOK AVE,10306,New York
-73.743312,40.710631,106-15 215 ST,11429,New York
-73.8635097,40.7530192,37-14 104 ST,11368,New York
-73.879595,40.7337604,85-20 54 AVE,11373,New York
-73.8578975,40.6864931,91-36 84 ST,11421,New York
-73.9898295,40.5913208,2611 HARWAY AVE,11214,New York
-73.8314186,40.8303387,1060 BRINSMADE AVE,10465,New York
-73.7356576,40.6814269,129-07 FRANCIS LEWIS BLVD,11413,New York
-73.8769133,40.7620752,26-37 92 ST,11369,New York
-74.0008653,40.6596321,135 28 ST,11232,New York
-74.0074018,40.6223241,1235 73 ST,11228,New York
-73.808129,40.7381058,160-08 HORACE HARDING EXPRESSWAY SR S,11365,New York
-73.8498404,40.6726639,86-06 DUMONT AVE,11417,New York
-73.7332019,40.7352672,82-63 COUNTRY POINTE CIR,11426,New York
