zipcode,white_percent,black_percent,asian_percent
10590,0.938672972,0.010935422,0.022609724
10591,0.690195209,0.070008873,0.058562555
10594,0.871604456,0.040062537,0.040257964
10595,0.758267236,0.130445394,0.058694326
10596,0.893580104,0.013880856,0.018507808
10597,0.974173554,0.004132231,0.013429752
10598,0.895207177,0.023562677,0.0464272
10601,0.545446554,0.215893108,0.096518987
10603,0.526899384,0.271164564,0.066295101
10604,0.771377778,0.067733333,0.048088889
10605,0.788425466,0.081154143,0.051417853
10606,0.549427238,0.154615431,0.056488272
10607,0.455011723,0.277842907,0.105509965
10701,0.420409193,0.293597085,0.036360481
10703,0.565834195,0.175114526,0.057681888
10704,0.753787502,0.084800265,0.055693685
10705,0.43922944,0.196095624,0.057430951
10706,0.84514345,0.044359949,0.058186427
10707,0.808457958,0.075467961,0.067940973
10708,0.859740872,0.048857479,0.044475854
10709,0.89679294,0.009793371,0.066401205
10710,0.642237261,0.127149682,0.13308121
10801,0.557229285,0.254855855,0.041124746
10803,0.825492561,0.062002413,0.052593486
10804,0.851901598,0.078962251,0.040788916
10805,0.66226784,0.172477463,0.043499511
10901,0.837843597,0.04572768,0.049051779
10910,0.761904762,0,0.238095238
10911,1,0,0
10913,0.852313811,0.026211135,0.067064353
10914,0.81884058,0.055555556,0.026570048
10915,0.890756303,0.058823529,0
10916,0.904185022,0.035903084,0.019603524
10917,0.807926829,0.029979675,0.052845528
10918,0.817978879,0.070833691,0.037091096
10919,0.856730769,0.041346154,0.026923077
10920,0.790156652,0.029693711,0.127893383
10921,0.864812576,0.053688029,0.0191052
10922,0.868505452,0.03014753,0.014753047
10923,0.651053596,0.148992213,0.038479157
10924,0.834908537,0.061585366,0.027362805
10925,0.904384226,0.023353161,0.022912536
10926,0.717764596,0.103340618,0.09615985
10927,0.479261125,0.126952141,0.022586062
10928,0.714251497,0.124550898,0.021556886
10930,0.813351194,0.061844162,0.051239116
10931,0.54056696,0.169110459,0.035190616
10932,1,0,0
10933,0.930232558,0.035940803,0
10940,0.614172415,0.17332397,0.021706803
10941,0.683068437,0.16474345,0.038827201
10950,0.908567315,0.0260238,0.021873544
10952,0.917979289,0.046689108,0.017061952
10953,0.932539683,0.003968254,0.01984127
10954,0.685615101,0.130049902,0.123237145
10956,0.785381174,0.066051204,0.101932045
10958,0.856274689,0.075053175,0.016104527
10960,0.671039555,0.201086596,0.043596369
10962,0.714789916,0.079495798,0.149579832
10963,0.656119125,0.237785016,0.013727315
10964,0.816576087,0.016304348,0.133831522
10965,0.925360016,0.008856737,0.035832601
10968,0.860178496,0.034424139,0.062048449
10969,0.928176796,0.025256511,0.008681926
10970,0.635544881,0.180226158,0.076353447
10973,0.909219191,0.019285042,0.016933208
10974,0.876269036,0.035532995,0.028553299
10975,0.896797153,0.053380783,0.014234875
10976,0.84720992,0.032329495,0.0659876
10977,0.515529739,0.296182767,0.047317437
10979,0.935897436,0.004273504,0.017094017
10980,0.865202122,0.040274976,0.030262273
10983,0.825198843,0.012111352,0.112075199
10984,0.794510908,0.087966221,0.045742435
10985,0.896551724,0.103448276,0
10986,0.918439716,0.028368794,0.00810537
10987,0.891310751,0.020324006,0.054786451
10988,0.931919643,0.032366071,0.006696429
10989,0.789518993,0.056709351,0.10136662
10990,0.875866415,0.061073142,0.013232514
10992,0.832449849,0.069847209,0.024425735
10993,0.569092053,0.180540994,0.050534703
10994,0.833733239,0.026111503,0.105575159
10996,0.803433985,0.067939609,0.046921255
10998,0.906470211,0.02946829,0.01409353
11001,0.726183834,0.061005096,0.146040248
11003,0.297127382,0.452630815,0.107844086
11004,0.499714612,0.063284817,0.364511986
11005,0.966223699,0.016611296,0.011627907
11010,0.880273708,0.013769363,0.057848117
11020,0.571694285,0.087926953,0.289651674
11021,0.785831124,0.020644142,0.150939139
11023,0.877367896,0.011188656,0.075440346
11024,0.84103974,0.016745814,0.048737816
11030,0.839049104,0.01352856,0.123928293
11040,0.610097592,0.0149821,0.321073022
11042,0.803846154,0.148076923,0.023076923
11050,0.798747141,0.018594014,0.103808293
11096,0.458293384,0.267976989,0.024808245
11101,0.425364935,0.20793439,0.160218176
11102,0.55737849,0.098057598,0.153019072
11103,0.678829293,0.019082001,0.142341413
11104,0.542339894,0.021702409,0.25976792
11105,0.75496075,0.021723724,0.112271042
11106,0.545466238,0.089234727,0.191614148
11109,0.666761283,0.044280443,0.217996026
11201,0.671178219,0.151404319,0.098497888
11203,0.035484549,0.911531494,0.012550214
11204,0.663821128,0.007653518,0.263572836
11205,0.456745776,0.344324431,0.050785314
11206,0.422811807,0.282919304,0.055364423
11207,0.113914291,0.668376416,0.011447112
11208,0.156643978,0.477902804,0.083392436
11209,0.770990371,0.021567688,0.115565044
11210,0.332989292,0.577683525,0.035076119
11211,0.760500239,0.049890698,0.038228081
11212,0.045230769,0.85164497,0.007171598
11213,0.195916383,0.72849593,0.008687879
11214,0.575550039,0.011463387,0.323332957
11215,0.763986895,0.060672883,0.063634073
11216,0.127402607,0.76483909,0.030083217
11217,0.59368468,0.228561077,0.060867869
11218,0.573783568,0.099016219,0.186812018
11219,0.682219885,0.012155583,0.227410243
11220,0.306150726,0.029870078,0.415530432
11221,0.174611826,0.567513784,0.020647696
11222,0.835409108,0.021849786,0.049087562
11223,0.661238902,0.041749755,0.211238267
11224,0.593330673,0.247831839,0.059910544
11225,0.165408506,0.752538317,0.014957152
11226,0.098649234,0.756635687,0.029673532
11228,0.681367857,0.006796209,0.244424237
11229,0.712652153,0.054775176,0.182408958
11230,0.713545042,0.083776965,0.12954819
11231,0.688534917,0.150437965,0.042386609
11232,0.427772864,0.073164691,0.161613303
11233,0.054121367,0.847657823,0.008575306
11234,0.478309423,0.421892271,0.046822476
11235,0.78050599,0.021824294,0.128291968
11236,0.074725439,0.850421296,0.02514993
11237,0.361552028,0.108686067,0.069284111
11238,0.379196947,0.478928992,0.054585685
11239,0.313297991,0.570745912,0.029194355
11351,#DIV/0!,#DIV/0!,#DIV/0!
11354,0.280166916,0.038357812,0.587484967
11355,0.165375971,0.033049574,0.708819043
11356,0.509343801,0.02594078,0.272591518
11357,0.761532567,0.009604087,0.182835249
11358,0.50173121,0.011026474,0.400921536
11359,#DIV/0!,#DIV/0!,#DIV/0!
11360,0.710019064,0.015303961,0.236072866
11361,0.544291407,0.039047752,0.353771936
11362,0.568703361,0.015766145,0.37440386
11363,0.632369777,0.010875787,0.312678878
11364,0.461959195,0.022746346,0.47049631
11365,0.407388999,0.088374515,0.416666667
11366,0.46016849,0.063479161,0.404374815
11367,0.594367432,0.100031671,0.208785051
11368,0.320028018,0.116372998,0.100117346
11369,0.343830118,0.198187233,0.088333549
11370,0.41700262,0.177484378,0.169295505
11371,#DIV/0!,#DIV/0!,#DIV/0!
11372,0.458400864,0.031424455,0.205054325
11373,0.267179131,0.020809363,0.470948225
11374,0.615550459,0.029954128,0.267247706
11375,0.653616167,0.0291563,0.252833428
11377,0.378893465,0.034064344,0.366236224
11378,0.735027586,0.015751408,0.103884966
11379,0.830791764,0.010424744,0.08153126
11385,0.655073434,0.033572704,0.064883561
11411,0.020909679,0.933390817,0.006790257
11412,0.013961355,0.920245399,0.01046385
11413,0.022589433,0.918097245,0.008814762
11414,0.870200398,0.020192749,0.0360257
11415,0.622563466,0.073160643,0.16757148
11416,0.31772656,0.112947991,0.229998793
11417,0.410398039,0.089377568,0.203472917
11418,0.369538835,0.109085393,0.20815865
11419,0.123382263,0.181843215,0.331659994
11420,0.15561167,0.32583307,0.201131803
11421,0.432105707,0.077874613,0.157257137
11422,0.072571898,0.83727198,0.021133936
11423,0.152966285,0.423583553,0.196818621
11424,#DIV/0!,#DIV/0!,#DIV/0!
11425,#DIV/0!,#DIV/0!,#DIV/0!
11426,0.462819784,0.056395679,0.357930642
11427,0.281015555,0.239901666,0.321790362
11428,0.228140651,0.244313439,0.267111853
11429,0.060904202,0.808165704,0.03345947
11430,0.108695652,0.684782609,0.043478261
11432,0.238385765,0.197717443,0.355227022
11433,0.052589715,0.75265396,0.050081072
11434,0.028902907,0.883559675,0.015322431
11435,0.263955892,0.276752286,0.196788794
11436,0.038609393,0.757145245,0.064571842
11451,#DIV/0!,#DIV/0!,#DIV/0!
11501,0.819615626,0.019845415,0.083350742
11507,0.644072374,0.006751283,0.304887929
11509,0.957406709,0.007161704,0.013946476
11510,0.542392883,0.305948923,0.04308884
11514,0.835223625,0.021399529,0.082816178
11516,0.884462679,0.021439915,0.037188989
11518,0.937434828,0.011470282,0.020475874
11520,0.402413419,0.335525253,0.016335571
11530,0.923587431,0.016206505,0.037179628
11542,0.74628162,0.070459234,0.046176673
11545,0.890841276,0.012101119,0.067302114
11547,0.905422446,0.008827238,0.047919294
11548,0.661510791,0.135611511,0.141726619
11549,0.788158795,0.108829569,0.039698836
11550,0.238220962,0.469442722,0.014795783
11552,0.633257114,0.220062669,0.052040989
11553,0.25720212,0.480525467,0.020703695
11554,0.773339977,0.051793769,0.116149166
11556,0.882352941,0.117647059,0
11557,0.875750991,0.016489838,0.063402787
11558,0.862246117,0.016726404,0.02437276
11559,0.89322407,0.026663405,0.028498043
11560,0.895884901,0.022122525,0.024288366
11561,0.846754292,0.058234979,0.025858369
11563,0.859789994,0.033927468,0.043545398
11565,0.885040276,0.032451093,0.041542002
11566,0.923388353,0.01344809,0.035248153
11568,0.647859495,0.163995609,0.125795829
11569,0.974248927,0.005007153,0.011444921
11570,0.834496735,0.091420851,0.019852886
11572,0.921861713,0.012461569,0.027637862
11575,0.135324484,0.637229597,0.006084071
11576,0.806970726,0.010431829,0.151787158
11577,0.756018481,0.039474751,0.158061117
11579,0.926409496,0.023343225,0.019188922
