incident_address,count
383 MARLBOROUGH ROAD,6
20 MERLE PLACE,6
1726 UNION STREET,6
2921 BRIGGS AVENUE,6
1312 STRATFORD AVENUE,6
35 HOLLAND AVENUE,6
2716 GUNTHER AVENUE,6
133 WEST  104 STREET,6
82-09 164 PLACE,6
439 EAST  135 STREET,6
1713 65 STREET,6
141-37 PERSHING CRESCENT,6
652 WEST  163 STREET,6
638 EAST   98 STREET,6
1091 ST NICHOLAS AVENUE,6
2338 MORRIS AVENUE,6
610 ASHFORD STREET,6
147 WEST  127 STREET,6
1161 SHERMAN AVENUE,6
18-15 EVERDELL AVENUE,6
4420 PARK AVENUE,6
297 GARFIELD PLACE,6
240 ST JOHNS PLACE,6
96-08 57 AVENUE,6
2443 CAMBRELENG AVENUE,6
960 DUMONT AVENUE,6
1633 DR M L KING JR BOULEVARD,6
40 WEST MOSHOLU PARKWAY SOUTH,6
214 SCHAEFER STREET,6
99 MARBLE HILL AVENUE,6
537 EDGECOMBE AVENUE,6
1405 COLLEGE AVENUE,6
2260 OLINVILLE AVENUE,6
1213 AVENUE Z,6
509 WEST  135 STREET,6
27A COOPER TERRACE,6
2847 WEBB AVENUE,6
323 EAST   26 STREET,6
25 CUMMING STREET,6
147 BEACH 59 STREET,6
3220 DECATUR AVENUE,6
224 WEST 141 STREET,6
48 POST AVENUE,6
853 ST NICHOLAS AVENUE,6
2010 VALENTINE AVENUE,6
80 WOODRUFF AVENUE,6
1324 HALSEY STREET,6
63 PERRY STREET,6
2039 BLACKROCK AVENUE,6
20 FR CAPODANNO BOULEVARD,6
25 POST AVENUE,6
2451 FREDERICK DOUGLASS BOULEVARD,6
1240 WOODYCREST AVENUE,6
195 EAST  100 STREET,6
815 AVENUE C,6
260 SCHENECTADY AVENUE,6
305 CLARKSON AVENUE,6
1730 64 STREET,6
330 EAST   35 STREET,6
301 WEST  130 STREET,6
323 EAST   85 STREET,6
98-01 67 AVENUE,6
111 EAST 167 STREET,6
2888 FULTON STREET,6
1260 CROTON LOOP,6
540 AUDUBON AVENUE,6
1424 AVENUE M,6
1209 BUSHWICK AVENUE,6
1344 CLINTON AVENUE,6
2124 CROTONA AVENUE,6
717 AVENUE C,6
192 NAGLE AVENUE,6
2334 PACIFIC STREET,6
41 JEFFERSON STREET,6
42-04 SAULL STREET,6
1982 LEXINGTON AVENUE,6
131 LINCOLN ROAD,6
102 FORSYTH STREET,6
2110 FULTON STREET,6
17 HILL STREET,6
158-13 72 AVENUE,6
25-39 44 STREET,6
407 EAST  160 STREET,6
64 GRAHAM AVENUE,6
1106 BOYNTON AVENUE,6
3520 DEKALB AVENUE,6
111-31 135 STREET,6
319 LINCOLN PLACE,6
350 ST ANNS AVENUE,6
225 WEST  123 STREET,6
913 BELMONT AVENUE,6
2024 LA FONTAINE AVENUE,6
168 EAST   82 STREET,6
1975 ADAM C POWELL BOULEVARD,6
31-15 32 STREET,6
919 EAGLE AVENUE,6
1862 EAST   14 STREET,6
2101 GRAND AVENUE,6
361 MILLER AVENUE,6
2196 MATTHEWS AVENUE,6
2312 1 AVENUE,6
249 WILLIS AVENUE,6
1404 JESUP AVENUE,6
9002 5 AVENUE,6
1944 ANDREWS AVENUE,6
114-36 SUTPHIN BOULEVARD,6
1872 MONROE AVENUE,6
624 EAST  220 STREET,6
1345 PLIMPTON AVENUE,6
1340 STRATFORD AVENUE,6
160-09 76 AVENUE,6
215 AUDUBON AVENUE,6
2017 85 STREET,6
1685 PRESIDENT STREET,6
1047 BEDFORD AVENUE,6
71-40 MANSE STREET,6
3110 KINGSBRIDGE TERRACE,6
145 EAST   16 STREET,6
43-60 DOUGLASTON PARKWAY,5
150 EAST   19 STREET,5
3128 VILLA AVENUE,5
919 EAST  214 STREET,5
261 LENOX ROAD,5
1192 OCEAN AVENUE,5
1440 BOSTON ROAD,5
72-36 112 STREET,5
1388 2 AVENUE,5
388 AVENUE S,5
169-28 JAMAICA AVENUE,5
8750 BAY PARKWAY,5
3105 BRIGHTON 3 STREET,5
2271 PACIFIC STREET,5
62 WYCKOFF AVENUE,5
1056 SHERMAN AVENUE,5
127 EAST    7 STREET,5
147-30 HUXLEY STREET,5
780 EAST 2 STREET,5
66 RIVERDALE AVENUE,5
1904 VYSE AVENUE,5
40-51 DENMAN STREET,5
1239 HALSEY STREET,5
1430 PARKCHESTER ROAD,5
328 WEST   53 STREET,5
2013 AMSTERDAM AVENUE,5
543 EAST   21 STREET,5
1420 CLAY AVENUE,5
298 10 STREET,5
2109 1 AVENUE,5
38 SICKLES STREET,5
1267 WEBSTER AVENUE,5
801 ST NICHOLAS AVENUE,5
500 MONTGOMERY STREET,5
815 GERARD AVENUE,5
35-08 95 STREET,5
561 ALABAMA AVENUE,5
20 CROOKE AVENUE,5
304 WEST  147 STREET,5
2010 POWELL AVENUE,5
1035 WOODYCREST AVENUE,5
115 EAST  115 STREET,5
261 WADSWORTH AVENUE,5
473 CENTRAL PARK WEST,5
11 AVENUE D,5
315 EAST   57 STREET,5
139-28 LAKEWOOD AVENUE,5
124 JAMAICA AVENUE,5
1013 CLARKSON AVENUE,5
25-27 ERICSSON STREET,5
410 EAST   54 STREET,5
175-20 BAISLEY BOULEVARD,5
101 RIVINGTON STREET,5
1385 WILLOUGHBY AVENUE,5
2050 21 DRIVE,5
1388 BRISTOW STREET,5
2249 EAST   21 STREET,5
326 EAST   11 STREET,5
620 WEST 190 STREET,5
21-67 33 STREET,5
6914 3 AVENUE,5
495 EAST  188 STREET,5
1752 STERLING PLACE,5
178 MESEROLE STREET,5
1580 METROPOLITAN AVENUE,5
43 EAST   94 STREET,5
37-30 74 STREET,5
43 SHEFFIELD AVENUE,5
140-11 ASH AVENUE,5
645 VERMONT STREET,5
2559 GRAND CONCOURSE,5
2016 HUGHES AVENUE,5
307 LEGION STREET,5
853 ELSMERE PLACE,5
904 ALBANY AVENUE,5
96 ST MARKS PLACE,5
2660 BROADWAY,5
2676 GRAND CONCOURSE,5
109-56 111 STREET,5
20 STAGG STREET,5
364 EAST  209 STREET,5
67 ELM STREET,5
558 PARKSIDE AVENUE,5
520 WEST  134 STREET,5
80 GREENE AVENUE,5
10401 AVENUE J,5
2751 BARKER AVENUE,5
301 BRIGHTWATER COURT,5
3428 BARKER AVENUE,5
1562 MINFORD PLACE,5
789 ST MARKS AVENUE,5
74-10 35 AVENUE,5
88-16 87 STREET,5
245 HAWTHORNE STREET,5
102-49 44 AVENUE,5
134 HAVEN AVENUE,5
37-14 32 STREET,5
971 ST MARKS AVENUE,5
1059 UNION STREET,5
28 STANLEY AVENUE,5
25 BAY    8 STREET,5
181 MONTROSE AVENUE,5
879 10 AVENUE,5
1190 CLAY AVENUE,5
2825 CLAFLIN AVENUE,5
1800 3 AVENUE,5
8 WEST  111 STREET,5
1530 EAST   18 STREET,5
2237 MORRIS AVENUE,5
200 GELSTON AVENUE,5
5203 6 AVENUE,5
2150 CROTONA PARKWAY,5
67-70 YELLOWSTONE BOULEVARD,5
435 GRAND AVENUE,5
36-16 30 STREET,5
1513 JESUP AVENUE,5
9108 COLONIAL ROAD,5
2440 BRONX PARK EAST,5
512 WEST  180 STREET,5
4432 CARPENTER AVENUE,5
480 EAST 176 STREET,5
12-09 ASTORIA BOULEVARD,5
1128 EAST   86 STREET,5
73-12 199 STREET,5
137-86 70 AVENUE,5
1086 OCEAN AVENUE,5
1101 UNION STREET,5
466 ROCKAWAY PARKWAY,5
87-46 CHELSEA STREET,5
1198 DECATUR STREET,5
561 LENOX AVENUE,5
824 WEST  176 STREET,5
140 SEAMAN AVENUE,5
250 WEST   91 STREET,5
1591 FULTON AVENUE,5
327 MENAHAN STREET,5
976 AMSTERDAM AVENUE,5
580 EAST 94 STREET,5
37-33 61 STREET,5
655 EAST  230 STREET,5
63-08 FLUSHING AVENUE,5
2948 QUENTIN ROAD,5
106-10 ATLANTIC AVENUE,5
3235 PARKSIDE PLACE,5
429 LINCOLN PLACE,5
2420 BRONX PARK EAST,5
306 EAST   29 STREET,5
640 WEST  239 STREET,5
226 WEST  242 STREET,5
355 EAST   87 STREET,5
676 ST NICHOLAS AVENUE,5
119-64 GUY R BREWER BOULEVARD,5
3040 HULL AVENUE,5
144 PENNSYLVANIA AVENUE,5
2525 MORRIS AVENUE,5
874 LONGWOOD AVENUE,5
100 AUDUBON AVENUE,5
916 EAST 179 STREET,5
155-33 LINDEN BOULEVARD,5
1405 ROWLAND STREET,5
495 CLAREMONT PARKWAY,5
930 COLUMBUS AVENUE,5
42-78 65 PLACE,5
161 STANTON STREET,5
737 WYONA STREET,5
1221 SHAKESPEARE AVENUE,5
1725 PUTNAM AVENUE,5
105 WINTHROP STREET,5
518 EAST   88 STREET,5
722 EAST 228 STREET,5
533 EAST    2 STREET,5
127-03 JAMAICA AVENUE,5
2546 CRESTON AVENUE,5
395 MAPLE STREET,5
421 WEST 162 STREET,5
553 58 STREET,5
960 SHERMAN AVENUE,5
1585 ODELL STREET,5
735 GATES AVENUE,5
1193 BEDFORD AVENUE,5
244 MARYLAND AVENUE,5
93 MILLER AVENUE,5
173 SCHENECTADY AVENUE,5
330 HINSDALE STREET,5
333 MARTENSE STREET,5
1555 JARVIS AVENUE,5
156-08 RIVERSIDE DRIVE WEST,5
42-42 80 STREET,5
193 QUENTIN ROAD,5
2044 EAST   13 STREET,5
1075 SHEEPSHEAD BAY ROAD,5
723 59 STREET,5
2092 RYER AVENUE,5
54 MAUJER STREET,5
2761 DECATUR AVENUE,5
636 CHAUNCEY STREET,5
73 SKILLMAN AVENUE,5
173 HARMAN STREET,5
1324 EASTERN PARKWAY,5
531 BERGEN STREET,5
1050 LOWELL STREET,5
1275 EDWARD L GRANT HIGHWAY,5
23-57 31 DRIVE,5
155 EAST   52 STREET,5
59-28 56 STREET,5
317 LEFFERTS AVENUE,5
2715 NEWKIRK AVENUE,5
118 WEST   83 STREET,5
423 WEST  125 STREET,5
2819 HARING STREET,5
580 ST NICHOLAS AVENUE,5
112-24 NORTHERN BOULEVARD,5
1188 GRAND CONCOURSE,5
1447 ST NICHOLAS AVENUE,5
2840 SEDGWICK AVENUE,5
511 EAST   87 STREET,5
17 ARDEN STREET,5
3502 BROADWAY,5
469 CLINTON AVENUE,5
400 WEST  150 STREET,5
636 BROADWAY,5
8831 BAY PARKWAY,5
571 EAST  170 STREET,5
920 WESTCHESTER AVENUE,5
109-16 203 STREET,5
741 HUNTS POINT AVENUE,5
23-24 31 AVENUE,5
2180 BOLTON STREET,5
1670 PUTNAM AVENUE,5
21-47 33 STREET,5
104 VANDERBILT AVENUE,5
218-40 138 ROAD,5
1159 EASTERN PARKWAY,5
390 WADSWORTH AVENUE,5
2841 FREDERICK DOUGLASS BOULEVARD,5
397 ATLANTIC AVENUE,5
23 ARDEN STREET,5
775 RIVERSIDE DRIVE,5
592 WEST  178 STREET,5
149 EAST 96 STREET,5
941 CASTLE HILL AVENUE,5
157-12 WILLETS POINT BOULEVARD,5
321 MILFORD STREET,5
1307 MERRIAM AVENUE,5
536 EAST 168 STREET,5
97 BROOKLYN AVENUE,5
1120 GLENMORE AVENUE,5
2100 BRONX PARK EAST,5
220 HIGHLAND BOULEVARD,5
54-41 ALMEDA AVENUE,5
1222 ROGERS AVENUE,5
107 AVENUE D,5
2999 WEBSTER AVENUE,5
116-19 SUTPHIN BOULEVARD,5
345 EAST 116 STREET,5
514 OCEAN PARKWAY,5
179 EAST  205 STREET,5
215-41 HILLSIDE AVENUE,5
560 ISHAM STREET,5
104 EAST  196 STREET,5
171 AUDUBON AVENUE,5
42-41 CORPRL KENNEDY STREET,5
81 SEAMAN AVENUE,5
319 MALCOLM X BOULEVARD,5
1400 PROSPECT AVENUE,5
118-40 METROPOLITAN AVENUE,5
576 EAST  187 STREET,5
170 EAST 4 STREET,5
102-43 JAMAICA AVENUE,5
1561 SHERIDAN AVENUE,5
37-41 81 STREET,5
49-01 43 AVENUE,5
340 EAST   22 STREET,5
41-21 DENMAN STREET,5
634 OSBORN STREET,5
3022 EMMONS AVENUE,5
923 GLENMORE AVENUE,5
750 FAILE STREET,5
1544 GILLESPIE AVENUE,5
176 SUFFOLK STREET,5
565 MANHATTAN AVENUE,5
520 WEST  136 STREET,5
1534 SELWYN AVENUE,5
1321 5 AVENUE,5
2111 GLEASON AVENUE,5
867 TROY AVENUE,5
2104 CATON AVENUE,5
949 OGDEN AVENUE,5
70 WEST   93 STREET,5
733 PROSPECT AVENUE,5
753 MAC DONOUGH STREET,5
386 WOODBINE STREET,5
49-27 101 STREET,5
60 WEST  162 STREET,5
981 2 AVENUE,5
1833 EAST   12 STREET,5
502 EAST  184 STREET,5
709 LAFAYETTE AVENUE,5
26 EAST   55 STREET,5
290 EMPIRE BOULEVARD,5
205 NORMAN AVENUE,5
33-09 31 AVENUE,5
67 PITT STREET,5
807 EAST 170 STREET,5
780 LIVONIA AVENUE,5
287 WEST  150 STREET,5
482 TOMPKINS AVENUE,5
106 WEST 138 STREET,5
1720 MERMAID AVENUE,5
198-14 100 AVENUE,5
2830 MORRIS AVENUE,5
4000 LOWERRE PLACE,5
149-11 83 STREET,5
209-27 HILLSIDE AVENUE,5
17 SLAIGHT STREET,5
137 4 AVENUE,5
1619 SCHENECTADY AVENUE,5
47 ST NICHOLAS AVENUE,5
1641 OCEAN AVENUE,5
1436 VYSE AVENUE,5
198 GORDON STREET,5
157 WILSON AVENUE,5
3001 FULTON STREET,5
2043 CRESTON AVENUE,5
4600 9 AVENUE,5
130 FT WASHINGTON AVENUE,5
210-01 43 AVENUE,5
2055 85 STREET,5
15 ARGYLE ROAD,5
878 EAST 176 STREET,5
90-01 32 AVENUE,5
1397 EAST    2 STREET,5
1745 EASTBURN AVENUE,5
126 EAST 53 STREET,5
125-12 NEPTON STREET,5
96-10 57 AVENUE,5
56 WEST  127 STREET,5
505 EAST  178 STREET,5
63-54 FOREST AVENUE,5
38-18 23 AVENUE,5
265 EAST  176 STREET,5
413 EAST   98 STREET,5
619 WEST  175 STREET,5
1104 MANOR AVENUE,5
125 WADSWORTH AVENUE,5
1250 LELAND AVENUE,5
814 KINGS HIGHWAY,5
7 BERRIMAN STREET,5
400 CONVENT AVENUE,5
218-12 103 AVENUE,5
407 MONTAUK AVENUE,5
1275 DELMAR LOOP,5
4568 MANH COLLEGE PARKWAY,5
1054 BERGEN STREET,5
575 WEST  177 STREET,5
1255 BROADWAY,5
107 EAST  126 STREET,5
27 1 AVENUE,5
4523 AVENUE L,5
210 WINTHROP STREET,5
23 HENRY STREET,5
34-57 72 STREET,5
720 WEST  172 STREET,5
162 AVENUE C,5
529 WEST  158 STREET,5
730 LORIMER STREET,5
41-24 50 STREET,5
2322 CROTONA AVENUE,5
582 EAST   53 STREET,5
631 CLEVELAND STREET,5
130 VANDALIA AVENUE,5
13 LEFFERTS AVENUE,5
214 EAST  111 STREET,5
729 PROSPECT AVENUE,5
2396 VALENTINE AVENUE,5
164-30 HILLSIDE AVENUE,5
613 SOUTHERN BOULEVARD,5
2036 CRUGER AVENUE,5
37-80 64 STREET,5
243 GERVIL STREET,5
209 EAST 16 STREET,5
128 SEAMAN AVENUE,5
855 VAN DUZER STREET,5
2022 LEXINGTON AVENUE,5
135 HAMILTON PLACE,5
185 ERASMUS STREET,5
1675 WOODBINE STREET,5
291 NEW YORK AVENUE,5
30 DANIEL LOW TERRACE,5
880 BOYNTON AVENUE,5
104 TERRACE VIEW AVENUE,5
3915 14 AVENUE,5
2955 SHELL ROAD,5
2104 FULTON STREET,5
59 EAST   21 STREET,5
319 WEST   94 STREET,5
1383 WILLOUGHBY AVENUE,5
781 48 STREET,5
1501 1 AVENUE,5
3050 PERRY AVENUE,5
2110 EASTCHESTER ROAD,5
630 HUDSON STREET,5
111 EAST MOSHOLU PARKWAY NORTH,5
314 57 STREET,5
330 WEST   95 STREET,5
3548 TRYON AVENUE,5
175 EAST 151 STREET,5
3021 BRIGHTON   13 STREET,5
244 EAST  117 STREET,5
1049 BOYNTON AVENUE,5
2003 GLEASON AVENUE,5
2854 WELLMAN AVENUE,5
740 EAST  222 STREET,5
51 EAST   10 STREET,5
156 BLEECKER STREET,5
220 WEST  141 STREET,5
1220 MORRIS AVENUE,5
60 BROADWAY,5
45 THAYER STREET,5
391 LORIMER STREET,5
1201 OGDEN AVENUE,5
19-25 SEAGIRT BOULEVARD,5
3122 FULTON STREET,5
635 WILSON AVENUE,5
745 HUNTS POINT AVENUE,5
91-48 88 ROAD,5
180 HESTER STREET,5
219 AVENUE A,5
2890 FREDERICK DOUGLASS BOULEVARD,5
234 RALPH AVENUE,5
126 WEST  175 STREET,5
30 PARK TERRACE EAST,5
540 EAST  138 STREET,5
7805 RIDGE BOULEVARD,5
1532 NOSTRAND AVENUE,5
543 SURF AVENUE,5
3030 OCEAN AVENUE,5
1819 BARNES AVENUE,5
820 ST ANNS AVENUE,5
99 BAY   29 STREET,5
4320 VAN CORTLANDT PARK EAST,5
167 EAST   33 STREET,5
411 AUDUBON AVENUE,5
218 CALYER STREET,5
2145 AMSTERDAM AVENUE,5
1466 ST NICHOLAS AVENUE,5
156-18 110 AVENUE,5
774 58 STREET,5
2301 ADAM C POWELL BOULEVARD,5
4683 PARK AVENUE,5
5216 BEVERLY ROAD,5
740 59 STREET,5
33-25 81 STREET,5
370 SOUTH    2 STREET,5
43-01 46 STREET,5
1610 ST NICHOLAS AVENUE,5
6714 10 AVENUE,5
529 EAST    6 STREET,5
1580 THIERIOT AVENUE,5
301 WEST  121 STREET,5
2770 KINGSBRIDGE TERRACE,5
140-30 ASH AVENUE,5
141-34 249 STREET,5
275 EAST GUN HILL ROAD,5
916 EAST  179 STREET,5
2641 MARION AVENUE,5
3320 BAILEY AVENUE,5
681 EAST  228 STREET,5
32-50 70 STREET,5
2074 ARTHUR AVENUE,5
2970 WEST 27 STREET,5
142-30 SANFORD AVENUE,5
90 STARR STREET,5
2120 TIEBOUT AVENUE,5
524 WEST  151 STREET,5
3728 AVENUE K,5
21-38 35 STREET,5
527 WEST 146 STREET,5
146 FENIMORE STREET,5
2805 UNIVERSITY AVENUE,5
9216 KAUFMAN PLACE,5
264 WEST TREMONT AVENUE,5
1546 WASHINGTON AVENUE,5
65-09 99 STREET,5
122 WEST  137 STREET,5
95 SARATOGA AVENUE,5
514 EAST  138 STREET,5
3224 GRAND CONCOURSE,5
271 WEST  146 STREET,5
2840 BAILEY AVENUE,5
11 JACOBUS PLACE,5
2714 UNIVERSITY AVENUE,5
351 RIDGEWOOD AVENUE,5
2115 MOHEGAN AVENUE,5
1275 DECATUR STREET,5
635 MORRIS AVENUE,5
194 BAY 23 STREET,5
110 AVENUE J,5
26-11 96 STREET,5
716 PENFIELD STREET,5
152 MARCUS GARVEY BOULEVARD,5
65-47 160 STREET,5
53 5 AVENUE,5
19 MAUJER STREET,5
499 EAST   94 STREET,5
131 EAST 21 STREET,5
35-20 108 STREET,5
188 LINDEN BOULEVARD,5
30 WEST  190 STREET,5
2423 ADAM C POWELL BOULEVARD,5
120 HIGHLAND PLACE,5
643 SOUTHERN BOULEVARD,5
99 EAST   37 STREET,5
97-01 148 STREET,5
6402 24 AVENUE,5
47-05 44 STREET,5
362 LINDEN BOULEVARD,5
934 BELMONT AVENUE,5
83-45 BROADWAY,5
1555 NOSTRAND AVENUE,5
89-10 WHITNEY AVENUE,5
3479 SEYMOUR AVENUE,5
100 EAST 92 STREET,5
5530 NETHERLAND AVENUE,5
1098 GERARD AVENUE,5
2263 RYER AVENUE,5
150-41 73 AVENUE,5
313 49 STREET,5
1738 STEPHEN STREET,5
528 BERGEN STREET,5
6 WEST 107 STREET,5
2874 GRAND CONCOURSE,5
162 WEST  132 STREET,5
833 MADISON AVENUE,5
742 HENDRIX STREET,5
754 EAST  161 STREET,5
99-58 66 AVENUE,5
1567 LEXINGTON AVENUE,5
1705 ANDREWS AVENUE SOUTH,5
2785 FREDERICK DOUGLASS BOULEVARD,5
3602 CLARENDON ROAD,5
666 OCEAN AVENUE,5
1198 OCEAN AVENUE,5
1465 AMSTERDAM AVENUE,5
2610 BEVERLY ROAD,5
114-30 FARMERS BOULEVARD,5
35 WEST  177 STREET,5
224 EAST   34 STREET,5
2775 EAST 12 STREET,5
2110 77 STREET,5
148 WEST   46 STREET,5
1261 SCHENECTADY AVENUE,5
1330 EASTERN PARKWAY,5
164-10 84 AVENUE,5
261 LINDEN STREET,5
7 NAVY PIER COURT,5
485 COMMONWEALTH AVENUE,5
1516 UNION STREET,5
4050 WILDER AVENUE,5
170-40 130 AVENUE,5
580 EAST   21 STREET,5
123-14 18 AVENUE,5
193 BEDFORD AVENUE,5
1325 GRAND CONCOURSE,5
244 SUMPTER STREET,5
251 TOMPKINS AVENUE,5
186 ETNA STREET,5
2 CHARLTON STREET,5
1636 LEXINGTON AVENUE,5
101 LINCOLN ROAD,5
2384 MORRIS AVENUE,5
31-72 42 STREET,5
2480 ADAM C POWELL BOULEVARD,5
1778 SOUTHERN BOULEVARD,5
540 MANHATTAN AVENUE,5
47 MC KEEVER PLACE,5
889 DAWSON STREET,5
642 WEST 172 STREET,5
3605 OLINVILLE AVENUE,5
147 BRUCKNER BOULEVARD,5
8420 20 AVENUE,5
2494 MORRIS AVENUE,5
417 EAST  114 STREET,5
1075 LONGFELLOW AVENUE,5
1821 PITKIN AVENUE,5
3524 HULL AVENUE,5
523 WEST  156 STREET,5
1767 WEEKS AVENUE,5
1408 NOSTRAND AVENUE,5
1740 NOSTRAND AVENUE,5
21-42 29 STREET,5
1867 PARK PLACE,5
763 UTICA AVENUE,5
3 PETER COOPER ROAD,5
321 EAST   85 STREET,5
1288 HOE AVENUE,5
1711 DAVIDSON AVENUE,5
110A POND WAY,5
580 ACADEMY STREET,5
1035 45 STREET,5
1684 GRAND CONCOURSE,5
329 ESSEX STREET,5
1370 BOSTON ROAD,5
559 WEST  149 STREET,5
15 BERRIMAN STREET,5
709 EAST  226 STREET,5
103 ST MARKS PLACE,5
3010 WEST   33 STREET,5
285 SCHENECTADY AVENUE,5
99-15 67 ROAD,5
1485 MACOMBS ROAD,5
1216 COLLEGE AVENUE,5
16-04 CAFFREY AVENUE,5
273 GATES AVENUE,5
65-04 THURSBY AVENUE,5
610 WEST  174 STREET,5
671 WEST  162 STREET,5
37-22 BOWNE STREET,5
147-51 72 ROAD,5
251 MOTHER GASTON BOULEVARD,5
374 EASTERN PARKWAY,5
1146 BLAKE AVENUE,5
2008 BRYANT AVENUE,5
1215 OCEAN AVENUE,5
305 EAST   45 STREET,5
245 EAST  149 STREET,5
2801 BARKER AVENUE,5
341 EAST   19 STREET,5
50 MORNINGSIDE AVENUE,5
2358 FREDERICK DOUGLASS BOULEVARD,5
1072 WOODYCREST AVENUE,5
125 WEST  137 STREET,5
1165 EAST   54 STREET,5
1410 WOOD ROAD,5
941 INTERVALE AVENUE,5
3675 BROADWAY,5
249 WEST 15 STREET,5
4705 CHURCH AVENUE,5
321 EAST   10 STREET,5
1909 QUENTIN ROAD,5
230-18 139 AVENUE,5
1128 EAST 86 STREET,5
5461 KINGS HIGHWAY,5
212-04 75 AVENUE,5
609 WILLOUGHBY AVENUE,5
750 WASHINGTON AVENUE,5
643 EAST  232 STREET,5
100 STUYVESANT PLACE,5
31-18 33 STREET,5
710 EAST  235 STREET,5
998 JENNINGS STREET,5
307 EAST  188 STREET,5
1620 OCEAN AVENUE,5
2569 7 AVENUE,5
475 OCEAN AVENUE,5
982 PUTNAM AVENUE,5
21 BENNETT AVENUE,5
353 CHAUNCEY STREET,5
246 WEST   21 STREET,5
1632 UNDERCLIFF AVENUE,5
115-21 148 STREET,5
34-32 43 STREET,5
405 EAST  182 STREET,5
2670 BAINBRIDGE AVENUE,5
1840 NOSTRAND AVENUE,5
61-34 MADISON STREET,5
1211 SOUTHERN BOULEVARD,5
154 RICHARDS STREET,5
1181 EAST  214 STREET,5
37 CENTRAL AVENUE,5
1753 STERLING PLACE,5
2765 MATTHEWS AVENUE,5
54 FEATHERBED LANE,5
86 FOUNTAIN AVENUE,5
711 EAST   11 STREET,5
739 EAST  222 STREET,5
228 8 AVENUE,5
65-11 108 STREET,5
530 AUDUBON AVENUE,5
41-26 53 STREET,5
664 WEST  163 STREET,5
2984 NOSTRAND AVENUE,5
2157 OCEAN AVENUE,5
2628 3 AVENUE,5
97-30 57 AVENUE,5
150-09 88 AVENUE,5
4902 AVENUE D,5
2225 5 AVENUE,5
210 WEST  251 STREET,5
1786 AMSTERDAM AVENUE,5
1402 WEST    4 STREET,5
33 BRADHURST AVENUE,5
67 MACOMBS PLACE,5
1892 ARTHUR AVENUE,5
515 WEST  122 STREET,5
2340 ADAM C POWELL BOULEVARD,5
147 WEST 127 STREET,5
620 REISS PLACE,5
214 ROCKAWAY AVENUE,5
2401 DAVIDSON AVENUE,5
141 EAST   21 STREET,5
2793 FREDERICK DOUGLASS BOULEVARD,5
1183 GERARD AVENUE,5
49 CROWN STREET,5
18 BRIGHTON   10 COURT,5
9507 KINGS HIGHWAY,5
2199 HOLLAND AVENUE,5
454 AMSTERDAM AVENUE,5
2301 65 STREET,5
120 EAST   31 STREET,5
600 TRINITY AVENUE,5
1354 COMMONWEALTH AVENUE,5
2744 BEDFORD AVENUE,5
806 OCEAN AVENUE,5
49 WEST  119 STREET,5
1841 STRAUSS STREET,5
1224 WALTON AVENUE,5
1082 PRESIDENT STREET,5
388 AVENUE X,5
185-01 HILLSIDE AVENUE,5
43-24 165 STREET,5
164-03 122 AVENUE,5
1800 OCEAN PARKWAY,5
2384 WEBSTER AVENUE,5
661 CONEY ISLAND AVENUE,5
2541 OLINVILLE AVENUE,5
22 ST NICHOLAS PLACE,5
2505 BEDFORD AVENUE,5
751 GERARD AVENUE,5
351 AUDUBON AVENUE,5
317 EAST  178 STREET,5
130 MARTENSE STREET,5
470 RIVERDALE AVENUE,5
2552 UNIVERSITY AVENUE,5
1833 OCEAN AVENUE,5
728 GEORGIA AVENUE,5
124 EAST 176 STREET,5
1464 OCEAN AVENUE,5
242 EAST  106 STREET,5
107-14 107 AVENUE,5
2258 OCEAN AVENUE,5
479 CENTRAL AVENUE,5
2593 FREDERICK DOUGLASS BOULEVARD,5
3182 ROCHAMBEAU AVENUE,5
1301 LINCOLN PLACE,5
520 EAST   14 STREET,5
1789 LINDEN BOULEVARD,5
1488 AMSTERDAM AVENUE,5
2110 NEWKIRK AVENUE,5
1350 EAST   18 STREET,5
825 CROWN STREET,5
367 QUINCY STREET,5
725 RIVERSIDE DRIVE,5
1805 CLINTON AVENUE,5
416 EAST  187 STREET,5
239 OCEAN AVENUE,5
215 WEST  134 STREET,5
846 PROSPECT PLACE,5
2537 VALENTINE AVENUE,5
143-01 41 AVENUE,5
450 ROCKAWAY PARKWAY,5
22-88 MOTT AVENUE,5
152 TAPSCOTT STREET,5
2506 NEWKIRK AVENUE,5
300 TROUTMAN STREET,5
2852 FREDERICK DOUGLASS BOULEVARD,5
262 WEST 122 STREET,5
31-45 CRESCENT STREET,5
1288 1 AVENUE,5
307 EAST  111 STREET,5
868 EAST TREMONT AVENUE,5
2800 UNIVERSITY AVENUE,5
71-04 GRAND AVENUE,5
295 BENNETT AVENUE,5
25-90 35 STREET,5
1381 ST JOHNS PLACE,5
287 WEBSTER AVENUE,5
6469 BROADWAY,5
10 FT WASHINGTON AVENUE,5
135 EAST 17 STREET,5
576 SOUTHERN BOULEVARD,5
1225 OCEAN PARKWAY,5
1027 CLARKSON AVENUE,5
102-45 62 ROAD,5
3643 OLINVILLE AVENUE,5
3403 BRUNER AVENUE,5
655 EAST  228 STREET,5
1602 66 STREET,5
35-64 89 STREET,4
455 OCEAN AVENUE,4
181 HAWTHORNE STREET,4
465 BEACH   43 STREET,4
635 VERMONT STREET,4
35 ORCHARD STREET,4
