incident_address,count
221 BAINBRIDGE STREET,26
976 ANDERSON AVENUE,26
4121 BROADWAY,26
127 WEST  170 STREET,26
561 WEST  179 STREET,26
558 RIVERDALE AVENUE,26
260 ESSEX STREET,26
320 EAST  159 STREET,26
148 WEST  142 STREET,26
1815 DAVIDSON AVENUE,26
1120 BRYANT AVENUE,26
1713 HARMAN STREET,26
83-57 118 STREET,26
2710 MORRIS AVENUE,26
66 WEST  138 STREET,26
474 BROOKLYN AVENUE,26
2131 WALLACE AVENUE,25
223 LINDEN BOULEVARD,25
268 FOUNTAIN AVENUE,25
219-17 142 ROAD,25
2028 CROSS BRONX EXPRESSWAY,25
351 EAST  163 STREET,25
2176 TIEBOUT AVENUE,25
321 OVINGTON AVENUE,25
595 EAST  170 STREET,24
1259 CLAY AVENUE,24
2612 BROADWAY,24
215 WEST  145 STREET,24
2 ST NICHOLAS TERRACE,24
2459 FREDERICK DOUGLASS BOULEVARD,24
219 EAST  196 STREET,24
2474 VALENTINE AVENUE,24
108-14 GUY R BREWER BOULEVARD,24
2605 MARION AVENUE,24
1042 45 STREET,24
155 LINDEN BOULEVARD,24
3854 10 AVENUE,24
1201 OCEAN PARKWAY,24
313 EAST   78 STREET,24
3230 CRUGER AVENUE,24
170 HAWTHORNE STREET,24
78-03 68 ROAD,24
38 ELLIOT PLACE,24
2170 DR M L KING JR BOULEVARD,23
4117 15 AVENUE,23
1117 WESTCHESTER AVENUE,23
151 EAST MOSHOLU PARKWAY NORTH,23
2625 GRAND CONCOURSE,23
3206 3 AVENUE,23
2726 DECATUR AVENUE,23
3555 OXFORD AVENUE,23
2970 WEST   27 STREET,23
967 EAST  224 STREET,23
3580 BROADWAY,23
378 THROOP AVENUE,23
3377 WHITE PLAINS ROAD,23
177-31 106 ROAD,23
2174 PITKIN AVENUE,23
750 HALSEY STREET,23
203 HULL STREET,23
279 EVERGREEN AVENUE,23
2707 AVENUE W,23
4429 CARPENTER AVENUE,23
111 EAST  100 STREET,23
1420 GRAND CONCOURSE,23
528 EAST   85 STREET,23
1555 GRAND CONCOURSE,23
2430 MORRIS AVENUE,22
2324 MORRIS AVENUE,22
1490 METROPOLITAN AVENUE,22
270 ROCHESTER AVENUE,22
1 MARBLE HILL AVENUE,22
433 HERZL STREET,22
1496 AMSTERDAM AVENUE,22
1827 65 STREET,22
34 ARDEN STREET,22
76 ST NICHOLAS PLACE,22
410 ST NICHOLAS AVENUE,22
22-11 NEW HAVEN AVENUE,22
5217 13 AVENUE,22
35-01 34 STREET,22
3560 OLINVILLE AVENUE,22
1255 LONGFELLOW AVENUE,22
1887 AMSTERDAM AVENUE,22
1310 STERLING PLACE,22
337 EAST  146 STREET,22
166-08 90 AVENUE,22
805 FAIRMOUNT PLACE,22
802 PARK PLACE,22
1306 ST NICHOLAS AVENUE,22
1511 DE KALB AVENUE,22
1840 PHELAN PLACE,22
37 NEW LOTS AVENUE,22
826 CROWN STREET,22
936 REV JAMES POLITE AVENUE,22
122 33 STREET,22
250 CROWN STREET,22
150 WEST  179 STREET,22
111 WEST  141 STREET,22
330 EAST   19 STREET,22
1063 PACIFIC STREET,22
88-42 85 STREET,21
401 EAST   21 STREET,21
523 VERMONT STREET,21
1236 GRAND CONCOURSE,21
365 AVENUE W,21
22 ELLIOT PLACE,21
2588 7 AVENUE,21
2549 DECATUR AVENUE,21
1017 TRINITY AVENUE,21
303 EAST  158 STREET,21
2483 TIEBOUT AVENUE,21
377 MONTGOMERY STREET,21
1226 LINCOLN PLACE,21
2574 BEDFORD AVENUE,21
2664 GRAND CONCOURSE,21
1775 DAVIDSON AVENUE,21
124 EAST  176 STREET,21
63-10 108 STREET,21
25-20 BEACH CHANNEL DRIVE,21
1500 NOBLE AVENUE,21
196 ROCKAWAY PARKWAY,21
114 ALBEMARLE ROAD,21
97 ARDEN STREET,21
38-15 BOWNE STREET,21
1505 TOWNSEND AVENUE,21
3855 10 AVENUE,21
150 TOMPKINS AVENUE,21
3030 BRIGHTON 12 STREET,21
2567 DECATUR AVENUE,21
